id_transaksi_detail,kode_transaksi,tgl_transaksi,kode_produk,nama_produk,harga,jumlah
1375,TRX221366,2022-06-20,PRD5903,Produk72,76438,4
4966,TRX341867,2022-06-20,PRD2299,Produk94,40035,1
9575,TRX748300,2022-06-20,PRD1782,Produk91,29041,8
4759,TRX834026,2022-06-20,PRD4755,Produk27,19774,1
3108,TRX177707,2022-06-20,PRD6636,Produk17,95714,1
2751,TRX238835,2022-06-20,PRD8857,Produk33,49067,9
3975,TRX941730,2022-06-20,PRD2246,Produk75,80133,6
2568,TRX640498,2022-06-20,PRD7442,Produk7,21354,4
1549,TRX227433,2022-06-20,PRD5732,Produk12,71354,2
5553,TRX759317,2022-06-21,PRD2633,Produk70,99287,7
2258,TRX235593,2022-06-21,PRD6613,Produk82,92838,7
2945,TRX823896,2022-06-21,PRD3186,Produk24,72651,7
5263,TRX566228,2022-06-21,PRD3005,Produk54,45524,5
5525,TRX400818,2022-06-21,PRD2694,Produk96,97222,9
4908,TRX203678,2022-06-21,PRD9025,Produk88,58746,6
4242,TRX284874,2022-06-21,PRD4516,Produk69,64099,5
9260,TRX297431,2022-06-21,PRD9152,Produk6,80723,2
9397,TRX883555,2022-06-21,PRD5100,Produk52,36575,2
7762,TRX175170,2022-06-21,PRD1706,Produk31,43832,9
2157,TRX128108,2022-06-22,PRD1555,Produk8,21919,4
8523,TRX316339,2022-06-22,PRD7416,Produk20,66108,9
3667,TRX611305,2022-06-22,PRD4373,Produk98,75860,6
6801,TRX610955,2022-06-22,PRD8015,Produk59,72690,2
2711,TRX176991,2022-06-22,PRD9425,Produk35,56536,4
8715,TRX368511,2022-06-22,PRD9985,Produk2,67160,8
3438,TRX536919,2022-06-22,PRD6223,Produk54,40210,3
6426,TRX403716,2022-06-22,PRD6578,Produk37,96300,7
2689,TRX705108,2022-06-22,PRD6827,Produk57,98352,8
5177,TRX302789,2022-06-22,PRD7654,Produk71,56546,8
4585,TRX978591,2022-06-23,PRD6396,Produk20,15737,7
2309,TRX511897,2022-06-23,PRD7804,Produk46,88322,4
4878,TRX435132,2022-06-23,PRD5080,Produk96,59417,5
7665,TRX378875,2022-06-23,PRD9679,Produk77,41447,8
3050,TRX257073,2022-06-23,PRD2682,Produk71,69775,5
8693,TRX125129,2022-06-23,PRD5353,Produk95,40842,9
4687,TRX145629,2022-06-23,PRD4411,Produk29,68584,9
7288,TRX983553,2022-06-23,PRD2685,Produk32,83008,1
4889,TRX729279,2022-06-23,PRD3193,Produk80,62521,4
6408,TRX777152,2022-06-23,PRD9379,Produk24,73963,6
7518,TRX303125,2022-06-24,PRD9594,Produk34,14269,4
7755,TRX569411,2022-06-24,PRD3035,Produk40,51053,1
5858,TRX108542,2022-06-24,PRD1153,Produk83,16608,2
5586,TRX458333,2022-06-24,PRD3817,Produk15,11721,4
2661,TRX253853,2022-06-24,PRD3075,Produk90,53133,7
4541,TRX712941,2022-06-24,PRD8313,Produk22,43010,6
4198,TRX486110,2022-06-24,PRD7777,Produk86,22432,9
6709,TRX625346,2022-06-24,PRD5646,Produk95,37376,5
3003,TRX981043,2022-06-24,PRD5332,Produk51,57442,5
5587,TRX632743,2022-06-24,PRD3464,Produk2,81903,6
8093,TRX232483,2022-06-25,PRD9087,Produk69,47758,9
8921,TRX605999,2022-06-25,PRD6781,Produk15,50524,5
3431,TRX930760,2022-06-25,PRD4595,Produk48,71829,8
4049,TRX494882,2022-06-25,PRD6633,Produk83,80035,7
8930,TRX621055,2022-06-25,PRD7892,Produk46,47828,8
9378,TRX639025,2022-06-25,PRD6284,Produk54,87269,3
3579,TRX465346,2022-06-25,PRD2138,Produk78,84162,9
6342,TRX489433,2022-06-25,PRD4205,Produk15,16070,5
5703,TRX722894,2022-06-25,PRD1635,Produk51,98624,7
9008,TRX415787,2022-06-25,PRD4861,Produk13,87712,4
1387,TRX418114,2022-06-26,PRD8979,Produk66,72067,3
8650,TRX391281,2022-06-26,PRD9075,Produk8,65565,9
5851,TRX692487,2022-06-26,PRD7147,Produk29,78560,6
9211,TRX248856,2022-06-26,PRD2191,Produk89,68918,3
9764,TRX869544,2022-06-26,PRD8171,Produk3,78073,5
1015,TRX980265,2022-06-26,PRD4807,Produk1,16706,7
6772,TRX611284,2022-06-26,PRD5088,Produk73,60271,5
1827,TRX176402,2022-06-26,PRD4681,Produk85,21899,8
8097,TRX496172,2022-06-26,PRD6028,Produk55,93694,1
8853,TRX361233,2022-06-26,PRD2815,Produk36,18457,9
6963,TRX633747,2022-06-27,PRD1692,Produk16,55780,1
3606,TRX672109,2022-06-27,PRD2081,Produk54,60009,3
2489,TRX461410,2022-06-27,PRD2045,Produk88,29962,3
5658,TRX759826,2022-06-27,PRD2538,Produk31,26397,4
9421,TRX999207,2022-06-27,PRD1519,Produk71,92279,1
3213,TRX676743,2022-06-27,PRD9236,Produk14,77672,9
8308,TRX907318,2022-06-27,PRD6280,Produk16,10807,4
6065,TRX445308,2022-06-27,PRD3643,Produk79,47121,6
9691,TRX599396,2022-06-27,PRD8647,Produk5,36110,8
1269,TRX804495,2022-06-27,PRD8698,Produk17,73904,5
6682,TRX118009,2022-06-28,PRD1142,Produk88,39115,9
6368,TRX353888,2022-06-28,PRD1382,Produk17,63575,6
6472,TRX257963,2022-06-28,PRD2241,Produk93,89037,1
5757,TRX492384,2022-06-28,PRD8874,Produk48,33891,7
3383,TRX840038,2022-06-28,PRD9092,Produk14,13652,2
2991,TRX187073,2022-06-28,PRD2489,Produk32,21170,6
2631,TRX831440,2022-06-28,PRD7884,Produk17,28620,5
9843,TRX249613,2022-06-28,PRD2019,Produk39,97944,1
4282,TRX182991,2022-06-28,PRD8637,Produk96,24146,1
9254,TRX752457,2022-06-28,PRD6190,Produk14,76573,3
6912,TRX445300,2022-06-29,PRD2094,Produk26,22136,3
5923,TRX997246,2022-06-29,PRD8509,Produk42,16765,2
7287,TRX656813,2022-06-29,PRD5417,Produk82,46097,2
2163,TRX968762,2022-06-29,PRD6159,Produk35,28649,4
6006,TRX797895,2022-06-29,PRD5296,Produk21,70576,6
8338,TRX826021,2022-06-29,PRD4725,Produk81,25076,2
4732,TRX812613,2022-06-29,PRD4736,Produk81,58171,7
9587,TRX143172,2022-06-29,PRD7589,Produk94,52335,7
6890,TRX178955,2022-06-29,PRD3483,Produk17,67713,7
8655,TRX607557,2022-06-29,PRD9636,Produk35,78428,4
1522,TRX528401,2022-06-30,PRD1941,Produk53,30996,4
5741,TRX775096,2022-06-30,PRD9031,Produk8,16871,5
1648,TRX223586,2022-06-30,PRD2667,Produk65,85262,5
9381,TRX603986,2022-06-30,PRD9131,Produk69,71564,9
1560,TRX206549,2022-06-30,PRD5283,Produk71,96813,8
4272,TRX227257,2022-06-30,PRD7145,Produk44,48034,7
8491,TRX531737,2022-06-30,PRD5090,Produk60,57674,5
7244,TRX424646,2022-06-30,PRD9663,Produk93,54709,8
2234,TRX472374,2022-06-30,PRD1832,Produk23,70154,6
7178,TRX100424,2022-06-30,PRD2493,Produk77,12521,3
7172,TRX229883,2022-07-01,PRD4051,Produk43,70096,9
2631,TRX248395,2022-07-01,PRD9411,Produk2,17631,5
5535,TRX330635,2022-07-01,PRD1921,Produk71,30374,2
2480,TRX980840,2022-07-01,PRD9415,Produk65,74845,5
4100,TRX978297,2022-07-01,PRD5017,Produk10,10269,8
4962,TRX899411,2022-07-01,PRD1430,Produk90,66751,8
5952,TRX263335,2022-07-01,PRD3027,Produk75,39811,3
1456,TRX409771,2022-07-01,PRD3822,Produk56,53380,5
1717,TRX575955,2022-07-01,PRD7629,Produk33,68853,3
6878,TRX330940,2022-07-01,PRD6358,Produk88,54575,3
1714,TRX890222,2022-07-02,PRD5118,Produk90,18208,9
1225,TRX183304,2022-07-02,PRD5751,Produk98,90387,2
1635,TRX548352,2022-07-02,PRD1212,Produk26,61693,8
8762,TRX974275,2022-07-02,PRD4953,Produk60,96095,9
5683,TRX880940,2022-07-02,PRD6935,Produk20,73272,6
7360,TRX116655,2022-07-02,PRD4952,Produk1,13065,3
6076,TRX470448,2022-07-02,PRD3364,Produk19,82525,4
7149,TRX891720,2022-07-02,PRD1232,Produk65,48634,7
3230,TRX764907,2022-07-02,PRD3457,Produk99,39629,4
6068,TRX931307,2022-07-02,PRD9827,Produk85,78279,4
2673,TRX153624,2022-07-03,PRD1115,Produk21,27072,6
2422,TRX879944,2022-07-03,PRD1832,Produk26,66299,6
4176,TRX373091,2022-07-03,PRD8291,Produk52,66140,4
8844,TRX961836,2022-07-03,PRD5497,Produk44,40578,6
4780,TRX197465,2022-07-03,PRD1532,Produk86,59632,5
4407,TRX138813,2022-07-03,PRD5958,Produk14,48788,2
6425,TRX615477,2022-07-03,PRD2814,Produk66,69823,6
8878,TRX745984,2022-07-03,PRD1415,Produk10,78936,8
6928,TRX987547,2022-07-03,PRD1077,Produk19,18414,5
5130,TRX479997,2022-07-03,PRD9910,Produk63,24274,3
5882,TRX887869,2022-07-04,PRD6423,Produk52,60592,1
1873,TRX958818,2022-07-04,PRD2500,Produk79,32355,8
9283,TRX494470,2022-07-04,PRD2237,Produk59,46647,4
6158,TRX336149,2022-07-04,PRD4855,Produk77,73474,8
4581,TRX592886,2022-07-04,PRD4166,Produk18,19922,4
3094,TRX601834,2022-07-04,PRD7363,Produk55,91043,1
6975,TRX528222,2022-07-04,PRD2806,Produk19,44592,1
4576,TRX477293,2022-07-04,PRD1081,Produk17,39930,8
9178,TRX967735,2022-07-04,PRD4475,Produk11,41166,5
9090,TRX118384,2022-07-04,PRD3004,Produk73,50665,1
3371,TRX151674,2022-07-05,PRD8399,Produk15,26948,1
8038,TRX333974,2022-07-05,PRD9181,Produk67,56443,7
8075,TRX451853,2022-07-05,PRD3422,Produk76,23484,4
3042,TRX224925,2022-07-05,PRD9261,Produk5,38615,1
8889,TRX329040,2022-07-05,PRD6607,Produk15,76420,7
6170,TRX630216,2022-07-05,PRD7004,Produk47,74174,4
1911,TRX418997,2022-07-05,PRD7375,Produk69,41697,4
4329,TRX668556,2022-07-05,PRD8568,Produk59,51221,7
7883,TRX462881,2022-07-05,PRD2796,Produk99,60645,4
6674,TRX368955,2022-07-05,PRD9603,Produk99,69409,8
4302,TRX273026,2022-07-06,PRD7989,Produk29,79772,5
8745,TRX433221,2022-07-06,PRD5808,Produk48,31053,5
3984,TRX395503,2022-07-06,PRD1111,Produk67,56972,3
3461,TRX455544,2022-07-06,PRD9536,Produk97,83844,9
7606,TRX231578,2022-07-06,PRD8721,Produk85,94601,2
1263,TRX409074,2022-07-06,PRD3905,Produk78,82836,3
3456,TRX571014,2022-07-06,PRD4072,Produk97,94637,2
6423,TRX626783,2022-07-06,PRD5478,Produk74,66184,7
3106,TRX367082,2022-07-06,PRD7192,Produk91,49314,6
9293,TRX678890,2022-07-06,PRD7616,Produk95,93220,1
2719,TRX802447,2022-07-07,PRD9827,Produk12,33681,8
5216,TRX164522,2022-07-07,PRD7996,Produk12,15471,4
8249,TRX757248,2022-07-07,PRD6270,Produk4,51540,4
1103,TRX152848,2022-07-07,PRD6079,Produk81,63325,3
2514,TRX443628,2022-07-07,PRD2540,Produk31,63453,6
6564,TRX373219,2022-07-07,PRD8506,Produk19,54912,8
3634,TRX864350,2022-07-07,PRD8327,Produk21,43348,8
7374,TRX748575,2022-07-07,PRD4103,Produk80,33909,9
2789,TRX525205,2022-07-07,PRD4245,Produk49,29829,8
7934,TRX842484,2022-07-07,PRD9260,Produk93,22436,7
8452,TRX664475,2022-07-08,PRD2026,Produk64,60556,1
1315,TRX711078,2022-07-08,PRD6498,Produk70,81646,7
8227,TRX682299,2022-07-08,PRD7437,Produk44,22512,9
3212,TRX754993,2022-07-08,PRD5310,Produk86,50030,3
8016,TRX486741,2022-07-08,PRD6095,Produk26,47755,2
4246,TRX556393,2022-07-08,PRD4797,Produk76,64392,2
7831,TRX692702,2022-07-08,PRD7826,Produk64,12617,9
6201,TRX642455,2022-07-08,PRD2425,Produk67,32783,3
9773,TRX469060,2022-07-08,PRD4506,Produk27,12239,2
9102,TRX552831,2022-07-08,PRD7298,Produk78,58419,6
2287,TRX199771,2022-07-09,PRD4496,Produk74,84047,6
3063,TRX627450,2022-07-09,PRD3275,Produk36,85011,3
4579,TRX866389,2022-07-09,PRD5149,Produk90,65353,9
6907,TRX680656,2022-07-09,PRD2970,Produk12,59845,2
7250,TRX662563,2022-07-09,PRD4723,Produk58,72245,4
8032,TRX185456,2022-07-09,PRD3318,Produk98,60830,6
1255,TRX844848,2022-07-09,PRD4248,Produk51,63656,9
6143,TRX584899,2022-07-09,PRD2575,Produk33,58296,9
5066,TRX770127,2022-07-09,PRD2039,Produk7,46724,1
5218,TRX643301,2022-07-09,PRD5168,Produk50,54047,8
5403,TRX235287,2022-07-10,PRD6676,Produk91,47146,3
6966,TRX740812,2022-07-10,PRD6710,Produk62,22983,8
7001,TRX537149,2022-07-10,PRD4543,Produk18,54614,5
6041,TRX134477,2022-07-10,PRD8435,Produk26,99116,7
